codigo_ibge7;codigo_ibge6;municipio;uf;regiao;populacao_est2018;porte_ibge;porte_sisan;mapasan2018;sisan;data_adesao;participou;mais200milhab;capital;ano_adesao;mes_ano_adesao;codigo_sequencia;v9136;v9137;v9138;v9139;v9140;v9141;v9142;v9143;v9144;v9145;v9157_1;v9157_2;v9157_3;v9157_4;v9157_98;v9157_99;v9146;v9147;v9148;v9152;v9149;v9948;v9151;v9150;v9153;v9154_1;v9154_2;v9154_3;v9154_4;v9154_5;v9154_6;v9154_7;v9154_98;v9154_8;v9156;v9159_1;v9159_2;v9159_3;v9159_4;v9159_5;v9159_6;v9159_7;v9159_8;v9159_98;v9159_99;v9160;v9163_1;v9163_2;v9163_3;v9163_4;v9163_98;v9163_99;v14143;v14144_2;v14144_4;v14144_6;v14144_8;v14144_10;v14144_12;p_latitude;p_longitude
4314902;431490;4314902;43;4;1479101;7;5;1;1;27/nov/14;6047;1;1;2014;01/nov/14;3478;Cozinha Comunitaria Centro Social Antonio Gianelli;Rua B, Africa do Sul, 07;Belem Velho/Rincao;91787-000;Porto Alegre;RS;(51) 32452955;;nao tem;1;;;;;;;2;0;;$4,50;2;;$0,00;20;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;;-3.01159905063654E+16;-5115375995635980
4314902;431490;4314902;43;4;1479101;7;5;1;1;27/nov/14;6047;1;1;2014;01/nov/14;3111;Associacao de Triagem de Residuos Solidos -UTC;Rua Afonso Lourenco Mariante, 44019;Lomba de Pinheiro;91787260;Porto Alegre;RS;(51) 99082568;utcomposto@yahoo.com.br;nao tem;1;;;;;;;2;0;;$4,50;2;;$0,00;150;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;;-301015434;-511406865
4104808;410480;4104808;41;4;324476;6;4;1;1;03/ago/16;6047;1;0;2016;01/ago/16;3469;Cozinha Comunitaria Bairro Interlagos;Rua Jarama, 1056;Interlagos;85814-290;Cascavel;PR;(45) 99694746;admprovopar@hotmail.com;Nao tem;1;;;;;;;3;1;$77.849,64;$2,97;2;;$0,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-2.4916117339165E+16;-5343868017196650
2608750;260875;2608750;26;2;25349;4;1;1;0;;6047;0;0;;;3076;COZINHA COMUNITARIA BAIRO DA ESTATUA;Av. Miguel Arraes, Morada Nova;ESTATUA;56395-000;Lagoa Grande;PE;(87) 38699405;sociallagoagrande2017@gmail.com;;1;;;;1;;;1;1;$9.540,00;$3,33;1;;$1,50;150;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;-8989721965780050;-4.02767157554626E+16
2512036;251203;2512036;25;2;3777;1;1;1;0;;6047;0;0;;;3216;COZINHA COMUNITARIA DE POCO DANTAS;Rua Honorio Sampaio,47;CENTRO;58933000;Poco Dantas;PB;(83) 35621031;cozinhacomunitariapd@hotmail.com;;1;;;;1;;;1;0;;$10,00;0;;$12,00;25;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-6.40326679682148E+16;-3849707007408140
3169356;316935;3169356;31;3;31984;4;1;1;0;;6047;0;0;;;3247;ESTANCIA FAMILIAR;AVENIDA TRAVESSIA,190;PARQUE DIADORIM;39205000;Tres Marias;MG;(38) 37547009;fazendinha3m@gmail.com;nao tem;1;;;;1;;;1;99;;$4,50;2;;$7,00;55;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;99;;;;;;;-1.81948294911426E+16;-4523451663684840
2513653;251365;2513653;25;2;2685;1;1;1;0;;6047;0;0;;;3017;MARIA LEONOR DE ANDRADE (DONA NOZINHA);RUA ANTONIA MARCENA DUARTE, S/N;CENTRO;58928000;Santarem;PB;(83) 35631114;clodoarte@hotmail.com;http://www.jocaclaudino.pb.gov.br/;1;;;;;;;2;99;;$3,00;2;;$7,00;40;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-6.49;-38476
2304269;230426;2304269;23;2;9585;2;1;1;0;;6047;0;0;;;3696;COZINHA COMUNITARIA;RUA FILOMENA VIEIRA;CENTRO;63645-000;Deputado Irapuan Pinheiro;CE;(88) 988053693;saste.dip@hotmail.com;NAO;1;;;;;;;1;1;$50.000,00;$3,00;2;;$5,00;40;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;;;-59173532;-392672104
2304269;230426;2304269;23;2;9585;2;1;1;0;;6047;0;0;;;3689;COZINHA COMUNITARIA;RUA: FILOMENA VIEIRA S/N;CENTRO;63645-000;Deputado Irapuan Pinheiro;CE;(88) 988098383;saste.dip@hotmail.com;nao tem;1;;;;;;;1;99;;$3,00;1;;$5,00;40;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;;;-5917;-39268
2308401;230840;2308401;23;2;35662;4;1;1;1;07/jun/16;6047;0;0;2016;01/jun/16;3515;Cozinha Comunitaria Sede;Rua Padre Cicero 204;Centro;63200-000;Missao Velha;CE;(88) 35421738;acaosocial.mv@gmail.com;nao tem;1;;;;1;;;1;0;;$4,00;99;;$4,50;70;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;1;;-7247780735772220;-3914171218872070
2307304;230730;2307304;23;2;271926;6;4;1;0;;6047;1;0;;;3145;COZNHA COMUNITARIA FREI DAMIAO;Und 3: Rua Renan Felinto nº188;Bairro Frei Damiao;63043-300;Juazeiro do Norte;CE;(88) 988158355;sedest@juazeiro.ce.gov.br;https://www.juazeiro.ce.gov.br;1;;;;;;;1;1;$155.969,24;$4,00;2;;$4,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-7260408778544480;-3933531852205960
3109303;310930;3109303;31;3;24663;4;1;1;0;;6047;0;0;;;3414;Cozinha Comunitaria;Rua Jardim,816;Centro;38660-000;Buritis;MG;(38) 36623201;semas@buritis.mg.gov.br;;1;;;;;;;1;99;;$3,60;0;;$4,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-15618;-46423
2304269;230426;2304269;23;2;9585;2;1;1;0;;6047;0;0;;;3287;COZINHA COMUNITARIA;Rua Filomena Vieira, s numero;CENTRO;63645000;Deputado Irapuan Pinheiro;CE;(88) 88548971;saste.dip@hotmail.com;NAO;1;;;;;;;1;1;$21.000,00;$10,00;1;;$3,00;70;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-5917;-39268
4128005;412800;4128005;41;4;21119;4;1;1;0;;6047;0;0;;;3693;Cozinha Comunitaria/Restaurante Popular;Avenida Joao Nedeiros, esquina com a Rua Parana;Jardim Recife;85440-000;Ubirata;PR;(44) 35431369;social@ubirata.pr.gov.br;www.ubirata.pr.gov.br;1;;;;;;;1;99;;$4,70;2;;$3,00;130;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;;-2.45353725975767E+16;-5.2983412742614704E+16
2613909;261390;2613909;26;2;85774;5;2;1;0;;6047;0;0;;;3369;COZINHA COMUNITARIA;Rua Livino Gomes, S/N;Bom Jesus;56906-140;Serra Talhada;PE;(87) 38313197;psb@serratalhada.pe.gov.br;;1;;;;1;;;1;1;$200.000,00;$6,00;2;;$2,00;110;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;1;;;-798462894748213;-3830868244171140
2307502;230750;2307502;23;2;31584;4;1;1;1;27/nov/14;6047;0;0;2014;01/nov/14;3302;Cozinha Comunitaria;Rua Elisbao de Almeida Crispim s/n, Centro;Centro;63300-000;Lavras da Mangabeira;CE;(88) 35361066;saslavras_ce@yahoo.com.br;nao possui;1;;;;;;;1;1;$8.750,00;$5,00;2;;$2,00;80;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-6748652210353450;-3896383521167600
4128005;412800;4128005;41;4;21119;4;1;1;0;;6047;0;0;;;3367;Cozinha Comunitaria e Restaurante Popular de Ubirata;Avenida Joao Medeiros, s/n;Parque Recife;85440000;Ubirata;PR;(44) 35431369;social@ubirata.pr.gov.br;www.ubirata.pr.gov.br;1;;;;;;;1;1;$136.938,96;$4,71;2;;$2,00;100;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;-2.45353647336013E+16;-5298345633792870
3118601;311860;3118601;31;3;659070;7;5;1;1;20/mar/14;6047;1;0;2014;01/mar/14;3143;Cozinha Comunitaria Nacional;Und 1: Rua Laudelina Castorina, nº 102;Bairro Tijuco;32180-290;Contagem;MG;(31) 33616260;jose.costa@contagem.mg.gov.br;nao;1;;;;;;;3;1;$347.500,00;$4,50;1;;$2,00;350;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-1.98596263270957E+16;-4402140140533440
3118601;311860;3118601;31;3;659070;7;5;1;1;20/mar/14;6047;1;0;2014;01/mar/14;3142;Cozinha Comunitaria;Rua Maria Jose Chiodi, nº 37, bairro Nova Contagem;Bairro Nova Contagem;33929199;Contagem;MG;(31) 33928019;roberto.fiau@contagem.mg.gov.br;nao;1;;;;;;;1;1;$347.500,00;$4,50;2;;$2,00;350;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-1.98266260855151E+16;-441512417793274
2305233;230523;2305233;23;2;66114;5;2;1;0;;6047;0;0;;;3293;Alice Ferreira dos Santos;Rua Sao Raimundo, s n° - Centro;Centro;62880000;Horizonte;CE;(85) 33366075;cozinhacomunitaria.horizonte@outlook.com;;1;;;;;;;1;1;$134.800,00;$5,94;0;;$1,99;200;1;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;1;;1;;1;;;-4101377751117230;-3849924802780150
3519071;351907;3519071;35;3;227353;6;4;1;0;;6047;1;0;;;3301;Cozinha Comunitaria Jardim Novo Angulo;Av. Osvaldo de Souza, 375, lote 5, quadra C, loteamento Novo Angulo;Jardim Novo Angulo;13185158;Hortolandia;SP;(19) 38455643;cozinhacomunitaria@hortolandia.sp.gov.br;http://www2.hortolandia.sp.gov.br/;1;;;;;;;1;1;$175.000,00;$7,50;2;;$1,00;120;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-228819007;-4717510559999990
2301901;230190;2301901;23;2;60155;5;2;1;0;;6047;0;0;;;3513;Cozinha Comunitaria Minerva Dias de Sa Barreto;Av. Luiz Gonzaga;Malvinas;63180-000;Barbalha;CE;(88) 35322203;annictf@hotmail.com;;1;;;;1;;;1;99;;$7,00;1;;$1,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-7.3087084140065296E+16;-3927977085113520
2307650;230765;2307650;23;2;226128;6;4;1;1;20/mar/14;6047;1;0;2014;01/mar/14;3159;Cozinha Comunitaria do Timbo;Av. Do Contorno Norte, S/N;Timbo;61936-000;Maracanau;CE;(85) 35215056;ercilia_lima@yahoo.com.br;nao possui;1;;;;;;;1;1;$230.555,55;$5,00;2;;$1,00;270;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;1;;;;-3.87761365681524E+16;-3.8598039150238E+16
2307650;230765;2307650;23;2;226128;6;4;1;1;20/mar/14;6047;1;0;2014;01/mar/14;3157;Cozinha Comunitaria do Mucuna;"Rua Manuel Mergulhao, 41
(85) 33928884";Mucuna;61914-080;Maracanau;CE;(85) 35215056;edleuza.castro@yahoo.com.br;nao sabe;1;;;;;;;1;1;$230.555,55;$5,00;2;;$1,00;100;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;1;;;;-3846581394451440;-3865629673004150
2307650;230765;2307650;23;2;226128;6;4;1;1;20/mar/14;6047;1;0;2014;01/mar/14;3156;Cozinha Comunitaria do Luzardo Viana;Rua Pompeu Ferreira da Ponte, 695;Luzardo Viana;61910-120;Maracanau;CE;(85) 35215056;edleuza.castro@yahoo.com.br;nao possui;1;;;;;;;1;1;$230.555,55;$5,00;2;;$1,00;110;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;1;;;;-38566972444437;-3864827156066890
2307650;230765;2307650;23;2;226128;6;4;1;1;20/mar/14;6047;1;0;2014;01/mar/14;3646;Cozinha Comunitaria do Alto Alegre;Rua 5, 2225;Alto Alegre II;60900-000;Maracanau;CE;(85) 35215056;laryssavn_sasc@maracanau.ce.gov.br;nao possui;1;;;;;;;1;1;$230.555,55;$5,00;2;;$1,00;200;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;1;;;;-3825824793269940;-3861361742019650
2307650;230765;2307650;23;2;226128;6;4;1;1;20/mar/14;6047;1;0;2014;01/mar/14;3158;Cozinha Comunitaria do Acaracuzinho;"Rua 101, nº 172 - Acaracuzinho
(85) 33928244";Bairro Acaracuzinho;61920-020;Maracanau;CE;(85) 35215056;ercilia.maracanau@gmail.com;nao possui;1;;;;;;;1;1;$230.555,55;$5,00;2;;$1,00;150;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;1;;;;-3849471649573780;-3.8609755039215E+16
2307650;230765;2307650;23;2;226128;6;4;1;1;20/mar/14;6047;1;0;2014;01/mar/14;3160;Cozinha Comunitaria da Pajucara;"Rua Sao Sebastiao, 273, Pajucara
(85) 339282893";Bairro Pajucara:;61932-250;Maracanau;CE;(85) 35215056;edleuza.castro@yahoo.com.br;nao possui;1;;;;;;;1;1;$230.555,55;$5,00;2;;$1,00;170;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;1;;;;-3.8614714556540496E+16;-3.85860013961792E+16
2305506;230550;2305506;23;2;103255;6;3;1;1;27/nov/14;6047;0;0;2014;01/nov/14;3290;Cozinha Comunitaria Dulce Ricarte de Araujo;Rua Jose Caieiras de Araujo, 398;Bairro Areias;63500000;Iguatu;CE;(88) 35811204;saspmiguatu@yahoo.com.br;;1;;;;;;;1;1;$67.628,00;$3,49;1;;$1,00;200;1;;;1;1;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;-634734878196481;-3931109912268440
1700301;170030;1700301;17;1;6572;2;1;1;0;;6047;0;0;;;3025;COZINHA COMUNITARIA;Rua do Ouro,;HIDROFERROVIARIO;77908000;Aguiarnopolis;TO;(63) 34541329;crasdeaguiar@gmail.com;crasdeaguiar@gmail.com;1;;;;;1;;1;0;;;0;;$0,01;;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;99;;;;;;;-6563;-47466
2312106;231210;2312106;23;2;17622;3;1;1;0;;6047;0;0;;;3609;MARIA EDVAN COELHO RODRIGUES;RUA TRAVESSA CORONEL JOSE CARLOS S/N.;CENTRO;63190-000;Santana do Cariri;CE;(88) 35451267;smassantana2018@gmail.com;;1;;;;;;;1;0;;$12,00;1;;$0,00;80;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-7.1881434492370704E+16;-3973729133605950
4204202;420420;4204202;42;4;216654;6;4;1;0;;6047;1;0;;;3661;Cozinha Comunitaria;Avenida Senador Atilio Fontana, Parque de Exposicao Tancredo de Almeida Neves;Efapi;89812-000;Chapeco;SC;(49) 33191225;segurancaalimentar@chapeco.sc.gov.br;Nao;1;;;;1;;;1;1;$290.900,00;$11,71;1;;$0,00;150;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;;;-2.7095254821776E+16;-526591444015503
3142809;314280;3142809;31;3;20999;4;1;1;0;;6047;0;0;;;3410;Cozinha Comunitaria;r. Leocadio de Souza Reis;Flamengo;38420-000;Monte Alegre de Minas;MG;(34) 32830530;montesocial@hotmail.com;www.montealegre.mg.gov.br;1;;;;;;;1;1;$90.000,00;$9,00;1;;$0,00;30;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-1887735645786510;-4887613534927360
2111201;211120;2111201;21;2;176321;6;3;1;0;;6047;0;0;;;3040;COZINHA ESCOLA MUNICIPAL;Av. Panaquatira;Outeiro;65110000;Sao Jose de Ribamar;MA;(98) 32242286;semas@sjr.ma.gov.br;WWW.SJR.MA.GOV.BR;1;;;;1;;;1;1;$315.000,00;$8,00;1;;$0,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-2.55263421529613E+16;-4406833469867700
2111201;211120;2111201;21;2;176321;6;3;1;0;;6047;0;0;;;3680;Cozinha Escola Municipal;AV. Panaquatira;Outeiro;65110-000;Sao Jose de Ribamar;MA;(98) 32246804;semas@sjr.ma.gov.br;www.sjr.ma.gov.br;1;;;;1;;;1;1;$315.000,00;$8,00;1;;$0,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-2.55251095610348E+16;-4.40684688091278E+16
2304103;230410;2304103;23;2;74982;5;2;1;1;20/mar/14;6047;0;0;2014;01/mar/14;3336;COZINHA COMUNITARIA PADRE ALFEDINHO;RUA BENEDITO BARROSO N° 345;CONJUNTO FREI DAMIAO;63700000;Crateus;CE;(88) 996185459;luciano.cleto@hotmail.com;nao tem;1;;;;;;;1;1;$329.200,00;$7,00;1;;$0,00;250;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-5178567568876130;-4065010070800780
2507507;250750;2507507;25;2;800323;7;5;1;1;20/mar/14;6047;1;1;2014;01/mar/14;3585;Cozinha Comunitaria do Bairro dos Novais         Bairro dos Novais Bairro dos Novais;RUA, Santo Amaro, S/N;Bairro dos Novais;58088-550;Joao Pessoa;PB;(83) 32143477;sedes.dessan@joaopessoa.pb.gov.br;www.joaopessoa.pb.gov.br;1;;;;;;;1;1;$6.310.000,00;$7,00;1;;$0,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-7154372475327240;-3.48991066217422E+16
2507507;250750;2507507;25;2;800323;7;5;1;1;20/mar/14;6047;1;1;2014;01/mar/14;3584;Cozinha comunitaria da Bela Vista comunidade Bela Vista;Rua , Fernando Cunha Lima, S/N - Bela Vista;Cristo;58071-480;Joao Pessoa;PB;(83) 32186150;sedes.dessan@joaopessoa.pb.gov.br;www.joaopessoa.pb.gov.br;1;;;;;;;1;1;$7.027,40;$7,00;1;;$0,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-7155410391232950;-3488393068313590
4305108;430510;4305108;43;4;504069;7;5;1;1;20/nov/13;6047;1;0;2013;01/nov/13;3454;Nucleo de Capacitacao Canyon;Rua da Esperanca, predio 2;Canyon;95100-001;Caxias do Sul;RS;(54) 39011467;;https://www.caxias.rs.gov.br/seg_publica/;1;;;;;;;1;1;$143.450,00;$6,27;1;;$0,00;270;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-2.91191180397549E+16;-5118010997772210
4305108;430510;4305108;43;4;504069;7;5;1;1;20/nov/13;6047;1;0;2013;01/nov/13;3452;Cozinha Comunitaria Mariani;Rua Rachel Calliari Grazziotin, 40;Cidade Nova;95112-225;Caxias do Sul;RS;(54) 91236234;;;1;;;;1;1;;1;1;$95.633,20;$6,27;1;;$0,00;130;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;;;-2.91687658605492E+16;-5122224525594700
2309508;230950;2309508;23;2;21471;4;1;1;1;27/nov/14;6047;0;0;2014;01/nov/14;3120;COZINHA COMUNITARIA DIEGO E MIRELE;Av. Antonio Valdevino da Costa, 777, Bairro Sao Jose;Bairro Sao Jose;63520-000;Oros;CE;(88) 96242783;sasoros@bol.com.br;-;1;;;;;;;1;1;;$6,00;1;;$0,00;50;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-6252528034578340;-3891529083251950
2507507;250750;2507507;25;2;800323;7;5;1;1;20/mar/14;6047;1;1;2014;01/mar/14;3408;Cozinha comunitaria do Residencial Gervasio Maia Gervasio Maia;Rua do Arco Quadra S/N;Gervasio Maia;58000-00;Joao Pessoa;PB;(83) 32201170;cozinhascomunitarias@gmail.com;www.joaopessoa.pb.gov.br;1;;;;;;;1;1;$6.310.000,00;$5,50;1;;$0,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;-7197553102136060;-3488247156143180
2307304;230730;2307304;23;2;271926;6;4;1;0;;6047;1;0;;;3146;COZINHA COMUNITARIA SAMUEL ANTONIO DO NASCIMENTO;Und 2: Rua do Horto S/N;- Bairro Horto;63012-010;Juazeiro do Norte;CE;(88) 988158355;sedest@juazeiro.ce.gov.br;https://www.juazeiro.ce.gov.br;1;;;;;;;1;1;$250.000,00;$5,09;2;;$0,00;300;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-7213;-39315
4316907;431690;4316907;43;4;280505;6;4;1;0;;6047;1;0;;;3501;Sociedade Meridional de Educacao (SOME);Rua Irmao Claudio Rohr, nº 150;Santa Marta;97001-970;Santa Maria;RS;(55) 32115200;fbinotto@sesc-rs.com.br;;1;;;;;;;3;0;;$5,00;0;;$0,00;861;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-2968273059583180;-5385567247867580
4316907;431690;4316907;43;4;280505;6;4;1;0;;6047;1;0;;;3500;Obras Sociais do Centro Espirita Fraternidade Chico Xavier;Travessa Gramado, sn;Vila lorenzi;97070-570;Santa Maria;RS;(55) 91341091;fratchicoxavier@hotmail.com;;1;;;;;;;3;0;;$5,00;0;;$0,00;100;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-2.9728245836257E+16;-5381694563102720
4316907;431690;4316907;43;4;280505;6;4;1;0;;6047;1;0;;;3306;Obra Social Nossa Senhora do Trabalho;Oliveira Mesquita, 10;Salgado Filho;97100-000;Santa Maria;RS;(55) 91484365;paroquiaperpetuosocorro@gmail.com;nao;1;;;;;;;98;0;;$5,00;0;;$0,00;250;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-2.96748627831485E+16;-5382576205205910
4317509;431750;4317509;43;4;77620;5;2;1;0;;6047;0;0;;;3335;Cozinha Comunitaria;Rua Osvaldo Cruz, 261 predio 2;Sepe;98802-640;Santo Angelo;RS;(55) 33131560;assistenciasocial@santoangelo.rs.gov.br;www.santoangelo.rs.gov.br;1;;;;;;;1;99;;$5,00;2;;$0,00;90;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;1;;;-28299;-54263
4127205;412720;4127205;41;4;16984;3;1;1;1;21/mar/16;6047;0;0;2016;01/mar/16;3385;Cozinha Comunitaria;venida Melvin Jones, 1169;Vila da Fraternidade;87240-000;Terra Boa;PR;(44) 36411425;e_profissionalizante@hotmail.com;terraboa.pr.gov.br;1;;;;;;;1;0;;$5,00;1;;$0,00;60;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;;;-2.37771174308688E+16;-5.24525499343872E+16
