"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","categories/11","categories/12","categories/13","categories/14","categoryName","city","countryCode","isAdvertisement","location/lat","location/lng","neighborhood","permanentlyClosed","placeId","postalCode","rank","reviewsCount","searchPageLoadedUrl","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url"
"R. 7 Setembro, 183 - Centro, Palmitos - SC, 89887-000, Brazil","General hospital",,,,,,,,,,,,,,,"General hospital","Palmitos","BR","false","-27.06955","-53.1619788","Centro","false","ChIJe_p-7-sQ-5QRq1IUQDqvMT8","89887-000","1","12","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. 7 Setembro, 183","false","Hospital Regional de Palmitos","4.5","https://www.google.com/maps/search/?api=1&query=Hospital%20Regional%20de%20Palmitos&query_place_id=ChIJe_p-7-sQ-5QRq1IUQDqvMT8"
"R. São José, 306, Itapiranga - SC, 89896-000, Brazil","General hospital","Medical laboratory","Physical therapy clinic","X-ray lab",,,,,,,,,,,,"General hospital","Itapiranga","BR","false","-27.1714067","-53.7139193",,"false","ChIJORKbZ0q2-5QRQKmUCr7ZGk8","89896-000","2","12","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. São José, 306","false","Sociedade Hospitalar Itapiranga","4.3","https://www.google.com/maps/search/?api=1&query=Sociedade%20Hospitalar%20Itapiranga&query_place_id=ChIJORKbZ0q2-5QRQKmUCr7ZGk8"
"R. Alegre, 620 - Centro, Mondaí - SC, 89893-000, Brazil","General hospital",,,,,,,,,,,,,,,"General hospital","Mondaí","BR","false","-27.0987028","-53.3989942","Centro","false","ChIJ6TQOKh-o-5QRopF88_02pII","89893-000","3","6","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Alegre, 620","false","Hospital Mondaí","4.8","https://www.google.com/maps/search/?api=1&query=Hospital%20Monda%C3%AD&query_place_id=ChIJ6TQOKh-o-5QRopF88_02pII"
"Rua Doutor José Garrido Yanes, 118 - Centro, São Miguel do Oeste - SC, 89900-000, Brazil","Private hospital","General hospital","Hospital",,,,,,,,,,,,,"Private hospital","São Miguel do Oeste","BR","false","-26.7302273","-53.5126126","Centro","false","ChIJk9072HJa-pQR7jQ46ttW-x8","89900-000","4","43","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","Rua Doutor José Garrido Yanes, 118","false","Hospital São Miguel","4.3","https://www.google.com/maps/search/?api=1&query=Hospital%20S%C3%A3o%20Miguel&query_place_id=ChIJk9072HJa-pQR7jQ46ttW-x8"
"Vista Gaúcha, State of Rio Grande do Sul, 98535-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Vista Gaúcha","BR","false","-27.2899503","-53.7022393","Vista Gaúcha","false","ChIJz3RuV9K4-5QRcmTPzsWz3wk","98535-000","5","1","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Rio Grande do Sul",,"false","Hospital Beneficiente","4","https://www.google.com/maps/search/?api=1&query=Hospital%20Beneficiente&query_place_id=ChIJz3RuV9K4-5QRcmTPzsWz3wk"
"R. Encantado, 88 - Centro, São João do Oeste - SC, 89897-000, Brazil","General hospital","Hospital",,,,,,,,,,,,,,"General hospital","São João do Oeste","BR","false","-27.0989248","-53.5943436","Centro","false","ChIJexJMN4ix-5QRHHd331fHCIk","89897-000","6","8","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Encantado, 88","false","Hospital Santa Casa Rural","4.4","https://www.google.com/maps/search/?api=1&query=Hospital%20Santa%20Casa%20Rural&query_place_id=ChIJexJMN4ix-5QRHHd331fHCIk"
"R. Dr. Guilherme José Missen, 187 - Centro, São Miguel do Oeste - SC, 89900-000, Brazil","Maternity hospital","Hospital",,,,,,,,,,,,,,"Maternity hospital","São Miguel do Oeste","BR","false","-26.7279396","-53.5257043","Centro","false","ChIJjYeAq_Zc-pQRYl1QZSjFA4A","89900-000","7","30","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Dr. Guilherme José Missen, 187","false","Hospital CasaVitta","4.1","https://www.google.com/maps/search/?api=1&query=Hospital%20CasaVitta&query_place_id=ChIJjYeAq_Zc-pQRYl1QZSjFA4A"
"R. Albino Frantz, 148 - Centro, Tunápolis - SC, 89898-000, Brazil","General hospital","Association or organization","Hospital",,,,,,,,,,,,,"General hospital","Tunápolis","BR","false","-26.9722241","-53.6336938","Centro","false","ChIJCcuICmxM-pQRmR4jHQhUYfs","89898-000","8","4","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Albino Frantz, 148","false","Associação Hospitalar de Tunápolis","4.8","https://www.google.com/maps/search/?api=1&query=Associa%C3%A7%C3%A3o%20Hospitalar%20de%20Tun%C3%A1polis&query_place_id=ChIJCcuICmxM-pQRmR4jHQhUYfs"
"R. Alm. Saldanha, Caibi - SC, 89888-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Caibi","BR","false","-27.0759379","-53.246256",,"false","ChIJh91TxYkP-5QRMVa9d1dEZ8E","89888-000","9","2","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Alm. Saldanha","false","Hospital Beneficente São José","2","https://www.google.com/maps/search/?api=1&query=Hospital%20Beneficente%20S%C3%A3o%20Jos%C3%A9&query_place_id=ChIJh91TxYkP-5QRMVa9d1dEZ8E"
"R. São Cristóvão, 335 - São Gotardo, São Miguel do Oeste - SC, 89900-000, Brazil","Government hospital","Hospital",,,,,,,,,,,,,,"Government hospital","São Miguel do Oeste","BR","false","-26.7341156","-53.5028554","São Gotardo","false","ChIJ2S1ax21c-pQRNE4SWhUqYJc","89900-000","10","95","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. São Cristóvão, 335","false","Hospital Regional Terezinha Gaio Basso","4","https://www.google.com/maps/search/?api=1&query=Hospital%20Regional%20Terezinha%20Gaio%20Basso&query_place_id=ChIJ2S1ax21c-pQRNE4SWhUqYJc"
"277,, Av. Brasília, 93, Vicente Dutra - RS, 98450-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Vicente Dutra","BR","false","-27.1661653","-53.4091135","Vicente Dutra","false","ChIJJwQnr3Wn-5QR5rD0RqJWhu8","98450-000","11","0","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Rio Grande do Sul","277,, Av. Brasília, 93","false","Hospital",,"https://www.google.com/maps/search/?api=1&query=Hospital&query_place_id=ChIJJwQnr3Wn-5QR5rD0RqJWhu8"
"R. 7 de Setembro, 1041 - Centro, Cunha Porã - SC, 89890-000, Brazil","Private hospital","Hospital",,,,,,,,,,,,,,"Private hospital","Cunha Porã","BR","false","-26.8937166","-53.1702588","Centro","false","ChIJh5zI4IDi-pQRDJ8qWjeNFQo","89890-000","12","8","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. 7 de Setembro, 1041","false","Hospital Cunha Porã","4.6","https://www.google.com/maps/search/?api=1&query=Hospital%20Cunha%20Por%C3%A3&query_place_id=ChIJh5zI4IDi-pQRDJ8qWjeNFQo"
"R. Dom Pedro I, 835 - CENTRO, Guaraciaba - SC, 89920-000, Brazil","Private hospital","General hospital",,,,,,,,,,,,,,"Private hospital","Guaraciaba","BR","false","-26.5941806","-53.5210586","CENTRO","false","ChIJsRV_IYlm-pQR1TgigIXsvXY","89920-000","13","11","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Dom Pedro I, 835","false","Hospital São Lucas","4.5","https://www.google.com/maps/search/?api=1&query=Hospital%20S%C3%A3o%20Lucas&query_place_id=ChIJsRV_IYlm-pQR1TgigIXsvXY"
"R. Torres Gonçalves, 687 - Iraí, RS, 98460-000, Brazil","General hospital",,,,,,,,,,,,,,,"General hospital","Iraí","BR","false","-27.1941815","-53.2568642","Iraí","false","ChIJz9MMvU0M-5QRD_BsRUZesjw","98460-000","14","15","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Rio Grande do Sul","R. Torres Gonçalves, 687","false","Hospital Nossa Senhora Auxiliadora","4.4","https://www.google.com/maps/search/?api=1&query=Hospital%20Nossa%20Senhora%20Auxiliadora&query_place_id=ChIJz9MMvU0M-5QRD_BsRUZesjw"
"R. Humaitá, 41 - Centro, Vicente Dutra - RS, 98450-000, Brazil","General hospital",,,,,,,,,,,,,,,"General hospital","Vicente Dutra","BR","false","-27.1663229","-53.4091436","Centro","false","ChIJD7-q4nWn-5QRjnndcSahIBY","98450-000","15","0","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Rio Grande do Sul","R. Humaitá, 41","false","Hospital São Roque",,"https://www.google.com/maps/search/?api=1&query=Hospital%20S%C3%A3o%20Roque&query_place_id=ChIJD7-q4nWn-5QRjnndcSahIBY"
"R. Tomás Koproski, 520 - Centro, Descanso - SC, 89910-000, Brazil","General hospital","Hospital",,,,,,,,,,,,,,"General hospital","Descanso","BR","false","-26.8285761","-53.4999181","Centro","false","ChIJlb8cgJ9Q-pQRNBzaYss9fm4","89910-000","16","11","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Tomás Koproski, 520","false","Fundação Médica dos Trabalhadores Rurais de Descanso","3.8","https://www.google.com/maps/search/?api=1&query=Funda%C3%A7%C3%A3o%20M%C3%A9dica%20dos%20Trabalhadores%20Rurais%20de%20Descanso&query_place_id=ChIJlb8cgJ9Q-pQRNBzaYss9fm4"
"Descanso, State of Santa Catarina, 89910-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Descanso","BR","false","-26.8270726","-53.5026585","Descanso","false","ChIJGT-y8nVa-pQRMx87lfawI1k","89910-000","17","0","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina",,"false","Hospital Acesso",,"https://www.google.com/maps/search/?api=1&query=Hospital%20Acesso&query_place_id=ChIJGT-y8nVa-pQRMx87lfawI1k"
"Av. Brasil, 1137 - Centro, Palmitos - SC, 89887-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Palmitos","BR","false","-27.0687496","-53.1617475","Centro","false","ChIJMS0LiDcR-5QRfeQ1Wf0Bjfk","89887-000","18","0","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","Av. Brasil, 1137","false","Sc Med Distribuidora Hospitalar",,"https://www.google.com/maps/search/?api=1&query=Sc%20Med%20Distribuidora%20Hospitalar&query_place_id=ChIJMS0LiDcR-5QRfeQ1Wf0Bjfk"
"R. Rio de Janeiro, 115 - Centro, Iporã do Oeste - SC, 89899-000, Brazil","General hospital","Hospital",,,,,,,,,,,,,,"General hospital","Iporã do Oeste","BR","false","-26.9841169","-53.5386574","Centro","false","ChIJA0RfrNxS-pQRizWx6ccUyU0","89899-000","19","14","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Rio de Janeiro, 115","false","Instituto Hospital Beneficente Nossa Senhora das Mercês","4.3","https://www.google.com/maps/search/?api=1&query=Instituto%20Hospital%20Beneficente%20Nossa%20Senhora%20das%20Merc%C3%AAs&query_place_id=ChIJA0RfrNxS-pQRizWx6ccUyU0"
"R. Dom Pedro I, 810 - Centro, Caiçara - RS, 98440-000, Brazil","General hospital","Medical laboratory",,,,,,,,,,,,,,"General hospital","Caiçara","BR","false","-27.2744872","-53.437409","Centro","false","ChIJFSDhATWg-5QRPS9jRjYpwtc","98440-000","20","1","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Rio Grande do Sul","R. Dom Pedro I, 810","false","Hospital São Roque Caiçara","5","https://www.google.com/maps/search/?api=1&query=Hospital%20S%C3%A3o%20Roque%20Cai%C3%A7ara&query_place_id=ChIJFSDhATWg-5QRPS9jRjYpwtc"
"R. Alm. Barroso, 265 - Centro, Palmitos - SC, 89887-000, Brazil","Private hospital",,,,,,,,,,,,,,,"Private hospital","Palmitos","BR","false","-27.0753835","-53.1604839","Centro","false","ChIJe_p-7-sQ-5QR7u-tJCykY9A","89887-000","21","3","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Alm. Barroso, 265","false","Sociedade Hospitalar Beneficente Divina Providência","4.3","https://www.google.com/maps/search/?api=1&query=Sociedade%20Hospitalar%20Beneficente%20Divina%20Provid%C3%AAncia&query_place_id=ChIJe_p-7-sQ-5QR7u-tJCykY9A"
"R. Olavo Bilac, 228 - Guaraciaba, SC, 89920-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Guaraciaba","BR","false","-26.602612","-53.523894","Guaraciaba","false","ChIJV94JCWNm-pQRyKosz34q4aU","89920-000","22","2","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Olavo Bilac, 228","false","Bombeiros","4.5","https://www.google.com/maps/search/?api=1&query=Bombeiros&query_place_id=ChIJV94JCWNm-pQRyKosz34q4aU"
"R. Alm. Barroso - Centro, Palmitos - SC, 89887-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Palmitos","BR","false","-27.0754048","-53.1605912","Centro","false","ChIJAQDA7u4Q-5QRPzoPNvYAvFw","89887-000","23","0","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Alm. Barroso","false","Hospital do SAMU",,"https://www.google.com/maps/search/?api=1&query=Hospital%20do%20SAMU&query_place_id=ChIJAQDA7u4Q-5QRPzoPNvYAvFw"
"Rua Chuí, 273 - | 4 andar | Sala 401 - Centro, São Miguel do Oeste - SC, 89900-000, Brazil","Medical Center",,,,,,,,,,,,,,,"Medical Center","São Miguel do Oeste","BR","false","-26.731146","-53.5147552","Centro","false","ChIJvTDqCppd-pQRDYdcNGoEoCc","89900-000","24","2","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","Rua Chuí, 273 - | 4 andar | Sala 401","false","C.OTI","5","https://www.google.com/maps/search/?api=1&query=C.OTI&query_place_id=ChIJvTDqCppd-pQRDYdcNGoEoCc"
"R. Antas, 391 - Uruguai, Mondaí - SC, 89893-000, Brazil","Psychiatric hospital",,,,,,,,,,,,,,,"Psychiatric hospital","Mondaí","BR","false","-27.1019309","-53.3947448","Uruguai","false","ChIJRRn_-R6o-5QRuvFeAL7Gj_Y","89893-000","25","1","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Antas, 391","false","APAE","5","https://www.google.com/maps/search/?api=1&query=APAE&query_place_id=ChIJRRn_-R6o-5QRuvFeAL7Gj_Y"
"R. Barão do Rio Branco, 603-685, Romelândia - SC, 89908-000, Brazil","Government hospital",,,,,,,,,,,,,,,"Government hospital","Romelândia","BR","false","-26.6779655","-53.321613",,"false","ChIJ4xaCvhb0-pQRc9-A0IPp3CY","89908-000","26","1","https://www.google.com/maps/search/Hospital/@-26.8946183,-53.627594,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-26.894618329223754,-53.62759400373284,10z?hl=en","Hospital","State of Santa Catarina","R. Barão do Rio Branco, 603-685","false","UNIDADE DE SAÚDE E PRONTO SOCORRO","5","https://www.google.com/maps/search/?api=1&query=UNIDADE%20DE%20SA%C3%9ADE%20E%20PRONTO%20SOCORRO&query_place_id=ChIJ4xaCvhb0-pQRc9-A0IPp3CY"
